ID,Company,Type,Infrastructure,Type Infrastructure,City,Zip Code,Location,Address,Latitude,Longitude,Company_raw,Type_raw,Infrastructure_raw,Type Infrastructure_raw,City_raw,Location_raw,Address_raw,Zip Code_raw,Import_Source,Import_Classification,Data_Quality_Flag
24,InPost,Convenience Stores,Privada,Supermarket,Valencia,46015,Supermercado Tandy,"Av. del Maestro Rodrigo, 15",39.47773862738112,-0.3980739071241684,InPost,Convenience stores,Private,Supermarket,Valencia,Supermercado Tandy,"Av. del Maestro Rodrigo, 15",46015.0,,,
25,InPost,Convenience Stores,Privada,Premises,Valencia,46018,Suico Papeleria Librería,"C. Brasil, 12",39.47131524227039,-0.3957866786862146,InPost,Convenience stores,Private,Premises,Valencia,Suico Papeleria Librería,"C. Brasil, 12",46018.0,,,
26,InPost,Convenience Stores,Privada,Premises,Valencia,46008,Miss Buye,"C. Buen Orden, 12",39.46689043663387,-0.3865841124502649,InPost,Convenience stores,Private,Premises,Valencia,Miss Buye,"C. Buen Orden, 12",46008.0,,,
27,InPost,Convenience Stores,Privada,Premises,Valencia,46007,Avalon Papeleria,"C. de Albacete, 4",39.465437552152615,-0.3827902412627987,InPost,Convenience stores,Private,Premises,Valencia,Avalon Papeleria,"C. de Albacete, 4",46007.0,,,
28,InPost,Convenience Stores,Privada,Premises,Valencia,46007,Mi Phone,"Calle del Matemàtico Marzal, 1",39.46701890244549,-0.3802005585216838,InPost,Convenience stores,Private,Premises,Valencia,Mi Phone,"Calle del Matemàtico Marzal, 1",46007.0,,,
29,InPost,Convenience Stores,Privada,Premises,Valencia,46015,Tintoreria La Bruixeta,C/ de la Vall de la Ballestera,39.47918045088472,-0.4002268027109057,InPost,Convenience stores,Private,Premises,Valencia,Tintoreria La Bruixeta,C/ de la Vall de la Ballestera,46015.0,,,
30,InPost,Convenience Stores,Privada,Premises,Valencia,46015,Loteria Marcos Y Fotografias,C/ de la Vall de la Ballestera,39.47918045088472,-0.4002268027109057,InPost,Convenience stores,Private,Premises,Valencia,Loteria Marcos Y Fotografias,C/ de la Vall de la Ballestera,46015.0,,,
31,InPost,Locker,Privada,Premises,Valencia,46015,Laundry Park Campanar,C. Marqués de San Juan,39.47818379223094,-0.3970245228082928,InPost,Lockers,Private,Premises,Valencia,Laundry Park Campanar,C. Marqués de San Juan,46015.0,,,
32,InPost,Convenience Stores,Privada,Premises,Valencia,46018,Herbolario Valle De Angeles,"C. de Linares, 20",39.46921563808978,-0.3945886314929473,InPost,Convenience stores,Private,Premises,Valencia,Herbolario Valle De Angeles,"C. de Linares, 20",46018.0,,,
33,InPost,Convenience Stores,Privada,Premises,Valencia,46018,Edpack,"C/ Luis Lamarca, 13",39.47117118324263,-0.4006219950671602,InPost,Convenience stores,Private,Premises,Valencia,Edpack,"C/ Luis Lamarca, 13",46018.0,,,
34,InPost,Locker,Privada,Premises,Valencia,46009,Lavanderia Pina Colada,"C. de Gil Roger, 8",39.486260366203446,-0.3895799694719423,InPost,Lockers,Private,Premises,Valencia,Lavanderia Pina Colada,"C. de Gil Roger, 8",46009.0,,,
