Code,Name,Description
0,Unknown,Record type could not be classified into a group
1,PUDO,"Locker, Convenience Store, Click & Collect and PUDO records"
2,Microhub,Last Mile Logistics Station records
3,CC,Distribution / Reception Center and Warehouse records
