Index_1,Index_2,ID_1,ID_2,Company_1,Company_2,Type_1,Type_2,Group_1,Group_2,Location_1,Location_2,Address_1,Address_2,Distance_m,Address_Similarity,Location_Similarity,Address_Numbers_Available,Same_Address_Number,Same_Company,Same_Type,Same_Group,Should_Cluster,Pair_Classification,Pair_Rule
21,701,22,702,InPost,Ctt Express,Convenience Stores,Convenience Stores,PUDO,PUDO,Eurollibreria,Eurollibreria,"C. Manolo Taberner, 38","C. Manolo Taberner, 38",12.48,100.0,100.0,True,True,False,True,True,True,Same group - strong text match,same group and strong location/address match
22,680,23,681,InPost,Ctt Express,Convenience Stores,Convenience Stores,PUDO,PUDO,Kiosco Papeleria Arco Iris,Kiosco Papeleria Arco-Iris,"Av. de Manuel de Falla, 3","Av. de Manuel de Falla, 3",11.01,100.0,100.0,True,True,False,True,True,True,Same group - strong text match,same group and strong location/address match
22,839,23,840,InPost,Nacex,Convenience Stores,Convenience Stores,PUDO,PUDO,Kiosco Papeleria Arco Iris,Kiosco Papeleria Arco-Iris (4601-48),"Av. de Manuel de Falla, 3","Av. de Manuel de Falla, 3",25.28,100.0,86.67,True,True,False,True,True,True,Same group - strong text match,same group and strong location/address match
22,555,23,556,InPost,Celeritas,Convenience Stores,Convenience Stores,PUDO,PUDO,Kiosco Papeleria Arco Iris,Kiosco Papeleria Arco-Iris,"Av. de Manuel de Falla, 3","Av. de Manuel de Falla, 3",25.48,100.0,100.0,True,True,False,True,True,True,Same group - strong text match,same group and strong location/address match
22,787,23,788,InPost,Gls,Convenience Stores,Convenience Stores,PUDO,PUDO,Kiosco Papeleria Arco Iris,Ps Kiosco Papeleria Arco Iris,"Av. de Manuel de Falla, 3","Av. de Manuel de Falla, 3",38.41,100.0,94.55,True,True,False,True,True,True,Same group - strong text match,same group and strong location/address match
24,702,25,703,InPost,Ctt Express,Convenience Stores,Convenience Stores,PUDO,PUDO,Suico Papeleria Librería,Suico,"C. Brasil, 12","C. Brasil, 12",6.21,100.0,34.48,True,True,False,True,True,True,Same group - strong text match,same group and strong location/address match
24,259,25,260,InPost,Amazon,Convenience Stores,Convenience Stores,PUDO,PUDO,Suico Papeleria Librería,Seur - Papeleria Suico,"C. Brasil, 12","C. Brasil, 12",8.95,100.0,63.64,True,True,False,True,True,True,Same group - strong text match,same group and strong location/address match
24,373,25,374,InPost,SEUR,Convenience Stores,Convenience Stores,PUDO,PUDO,Suico Papeleria Librería,Papeleria Suico,"C. Brasil, 12","C. Brasil, 12",11.18,100.0,56.41,True,True,False,True,True,True,Same group - strong text match,same group and strong location/address match
25,363,26,364,InPost,SEUR,Convenience Stores,Convenience Stores,PUDO,PUDO,Miss Buye,Miss Buye,"C. Buen Orden, 12","C. Buen Orden, 12",6.82,100.0,100.0,True,True,False,True,True,True,Same group - strong text match,same group and strong location/address match
28,29,29,30,InPost,InPost,Convenience Stores,Convenience Stores,PUDO,PUDO,Tintoreria La Bruixeta,Loteria Marcos Y Fotografias,C/ de la Vall de la Ballestera,C/ de la Vall de la Ballestera,0.0,100.0,44.0,False,False,True,True,True,True,Same group - strong text match,same group and strong location/address match
