Index_1,Index_2,ID_1,ID_2,Company_1,Company_2,Type_1,Type_2,Group_1,Group_2,Location_1,Location_2,Address_1,Address_2,Distance_m,Address_Similarity,Location_Similarity,Address_Numbers_Available,Same_Address_Number,Same_Company,Same_Type,Same_Group,Should_Cluster,Pair_Classification,Pair_Rule
130,133,131,134,Amazon,Amazon,Locker,Convenience Stores,PUDO,PUDO,Lockers Heranz,Seur - Herrajes Serra,"Av. de l'Oest, 19, Ciutat Vella","C. de la Linterna, 28",29.89,34.04,42.42,True,False,True,False,True,False,Manual review,"same group, weak text match, distance 15-30m"
131,861,132,862,Amazon,UPS,Convenience Stores,Convenience Stores,PUDO,PUDO,El Móvil Store,Store Bitbase Valencia Centro,"Av. del Oeste, 43","Calle del Músico Peydró, 52",22.21,43.9,23.26,True,False,False,True,True,False,Manual review,"same group, weak text match, distance 15-30m"
146,151,147,152,Amazon,Amazon,Convenience Stores,Convenience Stores,PUDO,PUDO,Estanco Joaquin Costa 44,Seur - Karpet Papeleria Tecnica,"C. Joaquín Costa, 44","C. Joaquín Costa, 46",19.73,94.44,22.64,True,False,True,True,True,False,Manual review,"same group, weak text match, distance 15-30m"
146,772,147,773,Amazon,Gls,Convenience Stores,Convenience Stores,PUDO,PUDO,Estanco Joaquin Costa 44,Ps Karpet Papeleria Tecnica,"C. Joaquín Costa, 44","C. Joaquín Costa, 46",20.5,94.44,23.53,True,False,False,True,True,False,Manual review,"same group, weak text match, distance 15-30m"
146,390,147,391,Amazon,SEUR,Convenience Stores,Convenience Stores,PUDO,PUDO,Estanco Joaquin Costa 44,Karpet Papeleria Tecnica,"C. Joaquín Costa, 44","C. Joaquín Costa, 46",20.52,94.44,25.0,True,False,False,True,True,False,Manual review,"same group, weak text match, distance 15-30m"
147,149,148,150,Amazon,Amazon,Convenience Stores,Convenience Stores,PUDO,PUDO,Nickname Store,Correos - València Suc 9. Joaquin Costa,"C. de Joaquín Costa, 37","C. de Joaquín Costa, 39",28.47,95.24,24.0,True,False,True,True,True,False,Manual review,"same group, weak text match, distance 15-30m"
147,148,148,149,Amazon,Amazon,Convenience Stores,Locker,PUDO,PUDO,Nickname Store,Citypaq Lockerss-Correos València Suc 9. Joaquin Co,"C. de Joaquín Costa, 37","C. de Joaquín Costa, 39",28.47,95.24,25.0,True,False,True,False,True,False,Manual review,"same group, weak text match, distance 15-30m"
151,524,152,525,Amazon,Celeritas,Convenience Stores,Convenience Stores,PUDO,PUDO,Seur - Karpet Papeleria Tecnica,Estanco Prensa C/ Joaquin Costa 44,"C. Joaquín Costa, 46","C. Joaquín Costa, 44",18.47,94.44,29.03,True,False,False,True,True,False,Manual review,"same group, weak text match, distance 15-30m"
151,610,152,611,Amazon,Ctt Express,Convenience Stores,Convenience Stores,PUDO,PUDO,Seur - Karpet Papeleria Tecnica,Estanco Prensa C/ Joaquin Costa 44,"C. Joaquín Costa, 46","C. Joaquín Costa, 44",21.65,94.44,29.03,True,False,False,True,True,False,Manual review,"same group, weak text match, distance 15-30m"
151,869,152,870,Amazon,UPS,Convenience Stores,Convenience Stores,PUDO,PUDO,Seur - Karpet Papeleria Tecnica,Fnx-Estanco Joaquin Costa 44,"C. Joaquín Costa, 46","C. Joaquín Costa, 44",23.45,94.44,21.05,True,False,False,True,True,False,Manual review,"same group, weak text match, distance 15-30m"
158,224,159,225,Amazon,Amazon,Convenience Stores,Locker,PUDO,PUDO,Seur - Ibertinta Valencia,Lockers - Fermin,PERIS Y VALERO 85,"C. de Cádiz, 98",22.72,26.67,21.62,True,False,True,False,True,False,Manual review,"same group, weak text match, distance 15-30m"
163,469,164,470,Amazon,Dhl,Locker,Convenience Stores,PUDO,PUDO,Lockers - Equipo,Kiosco Mariacabrandt Capritxsos,"C/ de Jeroni Munyós, s/n, Jesús","Carrer de Carcaixent, 12",27.12,31.37,22.22,False,False,False,False,True,False,Manual review,"same group, weak text match, distance 15-30m"
163,627,164,628,Amazon,Ctt Express,Locker,Convenience Stores,PUDO,PUDO,Lockers - Equipo,Mariacabrandt-Capritxos,"C/ de Jeroni Munyós, s/n, Jesús","Carrer de Carcaixent, 12",28.08,31.37,10.81,False,False,False,False,True,False,Manual review,"same group, weak text match, distance 15-30m"
169,447,170,448,Amazon,SEUR,Convenience Stores,Lsp Pudos,PUDO,PUDO,Correos - València Suc 7. San Vicente,Tienda SEUR,"C. San Vicente Mártir, 175","C/ de Sant Vicent Màrtir, 209",29.68,78.43,26.67,True,False,False,False,True,False,Manual review,"same group, weak text match, distance 15-30m"
186,459,187,460,Amazon,Dhl,Convenience Stores,Convenience Stores,PUDO,PUDO,Asim Fruta Y Alimentacion,Granujas Valencia,"C. de Calixto III, 16","C. de Calixto III, 18",24.17,94.74,42.86,True,False,False,True,True,False,Manual review,"same group, weak text match, distance 15-30m"
255,840,256,841,Amazon,Nacex,Convenience Stores,Convenience Stores,PUDO,PUDO,Kiosco Roma.,Kiosco Roma (4604-86),"C. Brasil, 45","Pl. Roma, 5",29.27,30.0,73.33,True,False,False,True,True,False,Manual review,"same group, weak text match, distance 15-30m"
272,273,273,274,Amazon,Amazon,Convenience Stores,Convenience Stores,PUDO,PUDO,Outlet Orriols,Economy Bazar,"C. San Juan Bosco, 77","C. San Juan Bosco, 73",16.7,94.74,22.22,True,False,True,True,True,False,Manual review,"same group, weak text match, distance 15-30m"
277,926,278,927,Amazon,UPS,Convenience Stores,Convenience Stores,PUDO,PUDO,Techone Computers,Outlet Destino 19,"C/ de Pedro Cabanes, 73","C/ de Pedro Cabanes, 86",26.02,90.48,29.41,True,False,False,True,True,False,Manual review,"same group, weak text match, distance 15-30m"
277,792,278,793,Amazon,Gls,Convenience Stores,Convenience Stores,PUDO,PUDO,Techone Computers,Ps Outlet Destino 19,"C/ de Pedro Cabanes, 73","C/ de Pedro Cabanes, 86",29.26,90.48,27.03,True,False,False,True,True,False,Manual review,"same group, weak text match, distance 15-30m"
277,278,278,279,Amazon,Amazon,Convenience Stores,Convenience Stores,PUDO,PUDO,Techone Computers,Seur - Oulet Destino 19,"C/ de Pedro Cabanes, 73",PEDRO CABANES 86,29.95,75.68,21.05,True,False,True,True,True,False,Manual review,"same group, weak text match, distance 15-30m"
278,715,279,716,Amazon,Ctt Express,Convenience Stores,Convenience Stores,PUDO,PUDO,Seur - Oulet Destino 19,Locutorio Nino,PEDRO CABANES 86,"C/ d'Alcanyís, 34",24.26,45.16,34.29,True,False,False,True,True,False,Manual review,"same group, weak text match, distance 15-30m"
321,323,322,324,Amazon,Amazon,Locker,Convenience Stores,PUDO,PUDO,Lockers - Triadu,Seur - Yo Te Quiero En Bici,"Av. de Francia, 8","Av. de Francia, 10",22.78,90.32,25.64,True,False,True,False,True,False,Manual review,"same group, weak text match, distance 15-30m"
339,767,340,768,Amazon,Ctt Express,Convenience Stores,Convenience Stores,PUDO,PUDO,Bambini Moda Infantil Y Mujer,Mg Movil Valencia 2023,"C. Campamento, 44","C. Campamento, 38",26.57,86.67,31.37,True,False,False,True,True,False,Manual review,"same group, weak text match, distance 15-30m"
339,340,340,341,Amazon,Amazon,Convenience Stores,Convenience Stores,PUDO,PUDO,Bambini Moda Infantil Y Mujer,Mg Movil Valencia 2023,"C. Campamento, 44","C. Campamento, 38",28.84,86.67,31.37,True,False,True,True,True,False,Manual review,"same group, weak text match, distance 15-30m"
340,807,341,808,Amazon,Gls,Convenience Stores,Convenience Stores,PUDO,PUDO,Mg Movil Valencia 2023,Ps Bambini Moda Infantil Y Mujer,"C. Campamento, 38",C / Campamento 44 bajo,23.17,74.29,29.63,True,False,False,True,True,False,Manual review,"same group, weak text match, distance 15-30m"
355,459,356,460,SEUR,Dhl,Convenience Stores,Convenience Stores,PUDO,PUDO,Asim Fruta Y Alimentacion,Granujas Valencia,"C. de Calixto III, 16","C. de Calixto III, 18",19.6,94.74,42.86,True,False,False,True,True,False,Manual review,"same group, weak text match, distance 15-30m"
374,375,375,376,SEUR,SEUR,Convenience Stores,Locker,PUDO,PUDO,Quiosco Cesar,Seur Lockers Lidl Valencia,"Gran Vía del Marqués del Turia, 54","Gran Vía del Marqués del Turia, 52",22.22,96.97,20.51,True,False,True,False,True,False,Manual review,"same group, weak text match, distance 15-30m"
390,524,391,525,SEUR,Celeritas,Convenience Stores,Convenience Stores,PUDO,PUDO,Karpet Papeleria Tecnica,Estanco Prensa C/ Joaquin Costa 44,"C. Joaquín Costa, 46","C. Joaquín Costa, 44",20.0,94.44,28.07,True,False,False,True,True,False,Manual review,"same group, weak text match, distance 15-30m"
