City,Location_Cluster_ID,Representative_Latitude,Representative_Longitude,Record_Count,Company_Count,Companies,Addresses,Locations,Has_Locker,Has_PUDO,Has_Click_Collect,Has_Distribution_Center,Has_Last_Mile_Station,Has_Warehouse,Has_Convenience_Store,Has_Unknown,Cluster_Service_Type_Code,Cluster_Service_Type_Name,Cluster_Sharing_Type_Code,Cluster_Sharing_Type_Name,Cluster_Diameter_m,Cluster_Spatial_Confidence_Code,Cluster_Spatial_Confidence_Name,Cluster_Review_Required
valencia,VAL_LOC_000025,39.471265414665254,-0.395747009531191,4,4,Amazon | Ctt Express | InPost | SEUR,"C. Brasil, 12",Papeleria Suico | Seur - Papeleria Suico | Suico | Suico Papeleria Librería,False,False,False,False,False,False,True,False,5,Convenience Store only,3,"Multiple companies, single service",11.18,1,High,False
valencia,VAL_LOC_000026,39.466910867209236,-0.38661374267146453,2,2,InPost | SEUR,"C. Buen Orden, 12",Miss Buye,False,False,False,False,False,False,True,False,5,Convenience Store only,3,"Multiple companies, single service",6.82,1,High,False
valencia,VAL_LOC_000027,39.465437552152615,-0.3827902412627987,1,1,InPost,"C. de Albacete, 4",Avalon Papeleria,False,False,False,False,False,False,True,False,5,Convenience Store only,1,Single record,0.0,1,High,False
valencia,VAL_LOC_000028,39.46701890244549,-0.3802005585216838,1,1,InPost,"Calle del Matemàtico Marzal, 1",Mi Phone,False,False,False,False,False,False,True,False,5,Convenience Store only,1,Single record,0.0,1,High,False
valencia,VAL_LOC_000029,39.47918045088472,-0.4002268027109057,2,1,InPost,C/ de la Vall de la Ballestera,Loteria Marcos Y Fotografias | Tintoreria La Bruixeta,False,False,False,False,False,False,True,False,5,Convenience Store only,2,"Same company, multiple records",0.0,1,High,False
valencia,VAL_LOC_000030,39.47818379223094,-0.3970245228082928,1,1,InPost,C. Marqués de San Juan,Laundry Park Campanar,True,False,False,False,False,False,False,False,1,Locker only,1,Single record,0.0,1,High,False
valencia,VAL_LOC_000031,39.46921563808978,-0.3945886314929473,1,1,InPost,"C. de Linares, 20",Herbolario Valle De Angeles,False,False,False,False,False,False,True,False,5,Convenience Store only,1,Single record,0.0,1,High,False
valencia,VAL_LOC_000032,39.471171433902995,-0.400599244815801,4,4,Amazon | Ctt Express | InPost | SEUR,"C/ Luis Lamarca, 13",Edpack,False,False,False,False,False,False,True,False,5,Convenience Store only,3,"Multiple companies, single service",30.47,3,Review,True
valencia,VAL_LOC_000033,39.486260366203446,-0.3895799694719423,1,1,InPost,"C. de Gil Roger, 8",Lavanderia Pina Colada,True,False,False,False,False,False,False,False,1,Locker only,1,Single record,0.0,1,High,False
valencia,VAL_LOC_000034,39.48792112843391,-0.3759129429379055,1,1,InPost,"C. Maximiliano Thous, 10",Plasticos Mas Masia,False,False,False,False,False,False,True,False,5,Convenience Store only,1,Single record,0.0,1,High,False
valencia,VAL_LOC_000035,39.46588619078027,-0.3792181958704386,1,1,InPost,"C. de Pelayo, 34",Outlet Destino 7,False,False,False,False,False,False,True,False,5,Convenience Store only,1,Single record,0.0,1,High,False
valencia,VAL_LOC_000036,39.464392933346524,-0.38622553435729995,3,3,Amazon | Ctt Express | InPost,"C. de Honorato Juan, 2 | Calle HONORATO JUAN, 2",Uno Electro,False,False,False,False,False,False,True,False,5,Convenience Store only,3,"Multiple companies, single service",10.08,1,High,False
valencia,VAL_LOC_000037,39.46208666761457,-0.3873803027622066,5,5,Amazon | Celeritas | Ctt Express | InPost | UPS,"C/ de Jesús, 94",Fnx-Loterias Passatemps I Oci | Loterias Passatemps I Oci | Passatemps I Oci. Loterias | Passatems I Oci,False,False,False,False,False,False,True,False,5,Convenience Store only,3,"Multiple companies, single service",14.31,1,High,False
valencia,VAL_LOC_000038,39.49048168284261,-0.3817729828731399,1,1,InPost,Av. del Dr. Peset Aleixandre,Mercamundo,False,False,False,False,False,False,True,False,5,Convenience Store only,1,Single record,0.0,1,High,False
valencia,VAL_LOC_000039,39.47357531882066,-0.3710040552328909,1,1,InPost,"C. del Mar, 47",Libreria Papeleria Regolf,False,False,False,False,False,False,True,False,5,Convenience Store only,1,Single record,0.0,1,High,False
valencia,VAL_LOC_000040,39.49023373164648,-0.3864115537499547,1,1,InPost,"C/ Loriguilla, 3",Reparacion De Calzado Soriano,False,False,False,False,False,False,True,False,5,Convenience Store only,1,Single record,0.0,1,High,False
valencia,VAL_LOC_000041,39.48580546265062,-0.3729528431558834,1,1,InPost,"C. de Platero Suárez, 16",Papeleria Mussol,False,False,False,False,False,False,True,False,5,Convenience Store only,1,Single record,0.0,1,High,False
valencia,VAL_LOC_000042,39.46578806473263,-0.3806588887195551,1,1,InPost,"C/ Estrella, 15",El Saloncito De Anna,False,False,False,False,False,False,True,False,5,Convenience Store only,1,Single record,0.0,1,High,False
valencia,VAL_LOC_000043,39.48495863469806,-0.3691181597630499,1,1,InPost,"C. Alboraya, 48",Loterias Vimas,False,False,False,False,False,False,True,False,5,Convenience Store only,1,Single record,0.0,1,High,False
valencia,VAL_LOC_000044,39.47887718942045,-0.40244679555520096,3,3,Dhl | InPost | UPS,"Av. Tamarindos, 33",Fnx-Tentaciones | Tentaciones,False,False,False,False,False,False,True,False,5,Convenience Store only,3,"Multiple companies, single service",11.38,1,High,False
valencia,VAL_LOC_000045,39.4656229650743,-0.391802203618816,4,4,Celeritas | Ctt Express | InPost | Nacex,"Calle Maestro Bellver, 24",Eco Estore Patraix | Eco Store | Eco Store (4604-48),False,False,False,False,False,False,True,False,5,Convenience Store only,3,"Multiple companies, single service",16.33,2,Medium,False
valencia,VAL_LOC_000046,39.46950037734553,-0.3996324470997499,3,3,Celeritas | Ctt Express | InPost,"Carrer de Burgos, 3",Jd Market,False,False,False,False,False,False,True,False,5,Convenience Store only,3,"Multiple companies, single service",3.48,1,High,False
valencia,VAL_LOC_000047,39.47212357470673,-0.3714693442645322,1,1,InPost,"C/ de la Nave, 20",Ferreteria Galan,False,False,False,False,False,False,True,False,5,Convenience Store only,1,Single record,0.0,1,High,False
valencia,VAL_LOC_000048,39.48226440745045,-0.3702932937583059,1,1,InPost,"C. Pintor Vilar, 14",Power Navi Informatica,False,False,False,False,False,False,True,False,5,Convenience Store only,1,Single record,0.0,1,High,False
valencia,VAL_LOC_000049,39.49013755325412,-0.37529575948617755,2,2,Dhl | InPost,"Av. de la Constitución, 136",Papeleria Mapamundi,False,False,False,False,False,False,True,False,5,Convenience Store only,3,"Multiple companies, single service",2.91,1,High,False
valencia,VAL_LOC_000050,39.459046547032166,-0.3844345345356533,1,1,InPost,"Av. de Giorgeta, 30",Cbox Valencia,False,False,False,False,False,False,True,False,5,Convenience Store only,1,Single record,0.0,1,High,False
valencia,VAL_LOC_000051,39.48922937521793,-0.3721708842536594,5,5,Celeritas | Ctt Express | Gls | InPost | Nacex,"C/ del Padre Urbano, 37",Kiosco Acme | Kiosco Acme (4601-44) | Ps Kiosco Acme,False,False,False,False,False,False,True,False,5,Convenience Store only,3,"Multiple companies, single service",27.73,2,Medium,False
valencia,VAL_LOC_000052,39.47864157920949,-0.3665946555081119,1,1,InPost,"Pl. de la Legión Española, 12",Le Parisien Nailsbeauty Bar,False,False,False,False,False,False,True,False,5,Convenience Store only,1,Single record,0.0,1,High,False
valencia,VAL_LOC_000053,39.45888094926895,-0.3888369565695674,1,1,InPost,"Av. de Gaspar Aguilar, 13",Fruteria Internacional,False,False,False,False,False,False,True,False,5,Convenience Store only,1,Single record,0.0,1,High,False
valencia,VAL_LOC_000054,39.49083590068663,-0.3819775182880032,1,1,InPost,"Av. de Juan XXIII, 4",Perfumarte Juan Xxiii,False,False,False,False,False,False,True,False,5,Convenience Store only,1,Single record,0.0,1,High,False
valencia,VAL_LOC_000055,39.47722598903701,-0.40515241010049596,4,4,InPost | Pudo | SEUR | UPS,"Av. de Manuel de Falla, 13",C.C. Carrefour Campanar | CC Carr Campanar | Mioptico Campanar | Seur Lockers C.C. Carrefou,True,False,True,False,False,False,True,False,7,Multiple services,4,"Multiple companies, multiple services",26.31,2,Medium,False
valencia,VAL_LOC_000056,39.49135284886025,-0.3835763358986839,1,1,InPost,"C. Félix del Río, 45",Charmotal,False,False,False,False,False,False,True,False,5,Convenience Store only,1,Single record,0.0,1,High,False
valencia,VAL_LOC_000057,39.474351782352606,-0.37472617197883684,2,2,Ctt Express | InPost,"C. del Mar, 11",La Presencia Magica,False,False,False,False,False,False,True,False,5,Convenience Store only,3,"Multiple companies, single service",13.05,1,High,False
valencia,VAL_LOC_000058,39.46028266536554,-0.39415905710536336,2,1,InPost,Carrer de Fontanars dels Alforins,Ilusionarte | Perfumarte,False,False,False,False,False,False,True,False,5,Convenience Store only,2,"Same company, multiple records",10.32,1,High,False
valencia,VAL_LOC_000059,39.46663084053073,-0.3745823273944396,1,1,InPost,"C/ de Russafa, 14",Uala Accesorios Ruzafa,False,False,False,False,False,False,True,False,5,Convenience Store only,1,Single record,0.0,1,High,False
valencia,VAL_LOC_000060,39.487040208367574,-0.3669943437971901,2,2,InPost | SEUR,"Av. Primado Reig, 54",Prink Iriparo | Prink Primado Reig,False,False,False,False,False,False,True,False,5,Convenience Store only,3,"Multiple companies, single service",11.65,1,High,False
valencia,VAL_LOC_000061,39.47935905000482,-0.4002467324836345,1,1,InPost,C/ de la Vall de la Ballestera,24/7 Lion Energy,True,False,False,False,False,False,False,False,1,Locker only,1,Single record,0.0,1,High,False
valencia,VAL_LOC_000062,39.461365138798726,-0.3731432506554337,1,1,InPost,"C. de Cádiz, 58",Zeustreetwear,False,False,False,False,False,False,True,False,5,Convenience Store only,1,Single record,0.0,1,High,False
valencia,VAL_LOC_000063,39.48830920971478,-0.3664734572569786,1,1,InPost,"Camí Vell d'Alboraia, 20",Gimnasio Forma Sport Alb,True,False,False,False,False,False,False,False,1,Locker only,1,Single record,0.0,1,High,False
valencia,VAL_LOC_000064,39.46233660602732,-0.3909836070460281,1,1,InPost,C. Dibujante Manuel Gago,Kiosco Patraix,True,False,False,False,False,False,False,False,1,Locker only,1,Single record,0.0,1,High,False
valencia,VAL_LOC_000065,39.46232867970826,-0.399141610393207,1,1,InPost,"C/ de Torrent, 1",Laundry Park Patraix,True,False,False,False,False,False,False,False,1,Locker only,1,Single record,0.0,1,High,False
valencia,VAL_LOC_000066,39.49058748633797,-0.3720707193192085,3,3,InPost | Pudo | SEUR,"AVD/PRIMADO REIG, No10 | Av. Primado Reig, 10",24/7 Galp Valencia Prima | E.S. Galp Primado Reig | Seur Lockers E.S. Galp Pri,True,False,True,False,False,False,True,False,7,Multiple services,4,"Multiple companies, multiple services",12.31,1,High,False
valencia,VAL_LOC_000067,39.49062304057176,-0.3816933984675658,1,1,InPost,Av. del Dr. Peset Aleixandre,Kiosco Loterial Peset,True,False,False,False,False,False,False,False,1,Locker only,1,Single record,0.0,1,High,False
valencia,VAL_LOC_000068,39.46243751114118,-0.3759625429192373,1,1,InPost,"C. de Sueca, 20",Gimnasio Forma Sport Ruz,False,False,False,False,False,False,True,False,5,Convenience Store only,1,Single record,0.0,1,High,False
valencia,VAL_LOC_000069,39.46338078831483,-0.3706752614441388,2,2,InPost | UPS,"C. Músico Padilla, 4 | C. del Pintor Salvador Abril, 18",Fnx-Kiosko Angeles | Papeleria Alpe,False,False,False,False,False,False,True,False,5,Convenience Store only,3,"Multiple companies, single service",3.32,1,High,False
valencia,VAL_LOC_000070,39.46624824876887,-0.3700545125434768,1,1,InPost,"C. del Maestro Gozalbo, 4",Floristeria Azalea,False,False,False,False,False,False,True,False,5,Convenience Store only,1,Single record,0.0,1,High,False
valencia,VAL_LOC_000071,39.467201302079474,-0.3716966569178055,1,1,InPost,"C. de Pizarro, 19",Eton,False,False,False,False,False,False,True,False,5,Convenience Store only,1,Single record,0.0,1,High,False
valencia,VAL_LOC_000072,39.46340021298703,-0.3775945713577464,1,1,InPost,"C. de Cuba, 1",Mascleta Bike Rental,False,False,False,False,False,False,True,False,5,Convenience Store only,1,Single record,0.0,1,High,False
valencia,VAL_LOC_000073,39.48724186249662,-0.3643448615267514,1,1,InPost,"Carrer d'Albocàsser, 25",Ananda,False,False,False,False,False,False,True,False,5,Convenience Store only,1,Single record,0.0,1,High,False
valencia,VAL_LOC_000074,39.48866961346318,-0.3923688245138712,1,1,InPost,"Carrer de la Serra Martés, 18",Herboristeria Flor Del Turia,False,False,False,False,False,False,True,False,5,Convenience Store only,1,Single record,0.0,1,High,False
valencia,VAL_LOC_000075,39.45899575747238,-0.37202730243788834,5,5,Amazon | Gls | InPost | SEUR | UPS,"Av. de Peris y Valero, 85 | PERIS Y VALERO 85",Ibertinta | Ibertinta Valencia | Ps Ibertinta Valencia | Seur - Ibertinta Valencia,False,False,False,False,False,False,True,False,5,Convenience Store only,3,"Multiple companies, single service",23.74,2,Medium,False
valencia,VAL_LOC_000076,39.49197592604522,-0.3776732879921231,1,1,InPost,"C/ d'Alcanyís, 5",Lacolada Alcanyis,True,False,False,False,False,False,False,False,1,Locker only,1,Single record,0.0,1,High,False
valencia,VAL_LOC_000077,39.47393398296257,-0.35997191289136,1,1,InPost,"Av. de Suecia, 5",Lavanda Mestalla,True,False,False,False,False,False,False,False,1,Locker only,1,Single record,0.0,1,High,False
valencia,VAL_LOC_000078,39.4655823053066,-0.3749256409096501,1,1,InPost,"C/ Gral. San Martín, 12",Geles,False,False,False,False,False,False,True,False,5,Convenience Store only,1,Single record,0.0,1,High,False
valencia,VAL_LOC_000079,39.461033838370135,-0.3689090926299903,1,1,InPost,"Calle de Matías Perelló, 8",Ferreteria Insa Valencia,False,False,False,False,False,False,True,False,5,Convenience Store only,1,Single record,0.0,1,High,False
valencia,VAL_LOC_000080,39.48356997429615,-0.363318719102657,1,1,InPost,"C. Jaime Roig, 25",Kiosco Jaime Roig,False,False,False,False,False,False,True,False,5,Convenience Store only,1,Single record,0.0,1,High,False
valencia,VAL_LOC_000081,39.48744204422851,-0.3627402290939108,1,1,InPost,"C. de Dolores Marqués, 19",Dulce Espacio,False,False,False,False,False,False,True,False,5,Convenience Store only,1,Single record,0.0,1,High,False
valencia,VAL_LOC_000082,39.48101130540177,-0.3608479739821552,1,1,InPost,"C. de Álvaro de Bazán, 23",Papeleria Harcor,False,False,False,False,False,False,True,False,5,Convenience Store only,1,Single record,0.0,1,High,False
valencia,VAL_LOC_000083,39.46382775645549,-0.367189808809757,1,1,InPost,Av. del Reino de Valencia,Watermelon Phone World,False,False,False,False,False,False,True,False,5,Convenience Store only,1,Single record,0.0,1,High,False
valencia,VAL_LOC_000084,39.468388707949394,-0.3593242905828013,1,1,InPost,"Av. del Puerto, 18",Geekfy,False,False,False,False,False,False,True,False,5,Convenience Store only,1,Single record,0.0,1,High,False
