Location_Cluster_ID,Merged_Record_Count,Main_Type,id_final,Location,Address,Latitude,Longitude,Capacity_Sum,Zip_Code,ID,Company,Type,Infrastructure,Type Infrastructure,City,Company_raw,Type_raw,Infrastructure_raw,Type Infrastructure_raw,City_raw,Location_raw,Address_raw,Zip Code_raw,Import_Source,Import_Classification,Data_Quality_Flag,Record_Service_Type_Code,Record_Service_Type_Name,Type_Group_Code,Cluster_Record_Count,Cluster_Company_Count,Has_Locker,Has_PUDO,Has_Click_Collect,Has_Distribution_Center,Has_Last_Mile_Station,Has_Warehouse,Has_Convenience_Store,Has_Unknown,Cluster_Service_Type_Code,Cluster_Service_Type_Name,Cluster_Sharing_Type_Code,Cluster_Sharing_Type_Name,Cluster_Diameter_m,Cluster_Spatial_Confidence_Code,Cluster_Spatial_Confidence_Name,Cluster_Companies,Cluster_Review_Required
VAL_LOC_000037,5,PUDO,38,Passatems I Oci,"C/ de Jesús, 94",39.46208666761457,-0.3873803027622066,600,46007.0,38 + 166 + 538 + 627 + 879,InPost + Amazon + Celeritas + Ctt Express + UPS,Convenience Stores,Privada,Premises,Valencia + Valecia,InPost + Amazon + Celeritas + CTT Express + UPS,Convenience stores,Private,Premises,Valencia + Valecia,Passatems I Oci + Loterias Passatemps I Oci + Passatemps I Oci. Loterias + Passatemps I Oci. Loterias + Fnx-Loterias Passatemps I Oci,"C/ de Jesús, 94 + C/ de Jesús, 94 + C/ de Jesús, 94 + C/ de Jesús, 94 + C/ de Jesús, 94",46007.0 + 46007.0 + 46007.0 + 46007.0 + 46007.0,,,,7 + 7 + 7 + 7 + 7,Convenience Store + Convenience Store + Convenience Store + Convenience Store + Convenience Store,1,5,5,False,False,False,False,False,False,True,False,5,Convenience Store only,3,"Multiple companies, single service",14.31,1,High,Amazon | Celeritas | Ctt Express | InPost | UPS + Amazon | Celeritas | Ctt Express | InPost | UPS + Amazon | Celeritas | Ctt Express | InPost | UPS + Amazon | Celeritas | Ctt Express | InPost | UPS + Amazon | Celeritas | Ctt Express | InPost | UPS,False
VAL_LOC_000038,2,PUDO,39,Mercamundo,Av. del Dr. Peset Aleixandre,39.49055236170719,-0.38173319067035283,180,46025.0,39 + 68,InPost + InPost,Convenience Stores + Locker,Privada,Premises + Kiosk,Valencia,InPost + InPost,Convenience stores + Lockers,Private,Premises + Kiosk,Valencia,Mercamundo + Kiosco Loterial Peset,Av. del Dr. Peset Aleixandre + Av. del Dr. Peset Aleixandre,46025.0 + 46025.0,,,,7 + 1,Convenience Store + Locker,1,2,1,True,False,False,False,False,False,True,False,7,Multiple services,2,"Same company, multiple records",17.14,2,Medium,InPost + InPost,False
VAL_LOC_000043,4,PUDO,44,Loterias Vimas,"C. Alboraya, 48",39.48478452791935,-0.36909008638091545,480,46010.0,44 + 546 + 656 + 892,InPost + Celeritas + Ctt Express + UPS,Convenience Stores,Privada,Premises,Valencia + Valecia,InPost + Celeritas + CTT Express + UPS,Convenience stores,Private,Premises,Valencia + Valecia,Loterias Vimas + Loterias Vimas + Loterias Vimas + Fnx-Loterias Vimas,"C. Alboraya, 48 + C. Alboraya, 48 + C. Alboraya, 48 + C. Alboraya, 48",46010.0 + 46010.0 + 46010.0 + 46010.0,,,,7 + 7 + 7 + 7,Convenience Store + Convenience Store + Convenience Store + Convenience Store,1,4,4,False,False,False,False,False,False,True,False,5,Convenience Store only,3,"Multiple companies, single service",27.68,2,Medium,Celeritas | Ctt Express | InPost | UPS + Celeritas | Ctt Express | InPost | UPS + Celeritas | Ctt Express | InPost | UPS + Celeritas | Ctt Express | InPost | UPS,False
VAL_LOC_000044,3,PUDO,45,Tentaciones,"Av. Tamarindos, 33",39.47887718942045,-0.40244679555520096,360,46015.0,45 + 477 + 907,InPost + Dhl + UPS,Convenience Stores,Privada,Premises,Valencia + Valecia,InPost + DHL + UPS,Convenience stores,Private,Premises,Valencia + Valecia,Tentaciones + Tentaciones + Fnx-Tentaciones,"Av. Tamarindos, 33 + Av. Tamarindos, 33 + Av. Tamarindos, 33",46015.0 + 46015.0 + 46015.0,,,,7 + 7 + 7,Convenience Store + Convenience Store + Convenience Store,1,3,3,False,False,False,False,False,False,True,False,5,Convenience Store only,3,"Multiple companies, single service",11.38,1,High,Dhl | InPost | UPS + Dhl | InPost | UPS + Dhl | InPost | UPS,False
VAL_LOC_000045,4,PUDO,46,Eco Estore Patraix,"Calle Maestro Bellver, 24",39.4656229650743,-0.391802203618816,480,46018.0,46 + 569 + 699 + 848,InPost + Celeritas + Ctt Express + Nacex,Convenience Stores,Privada,Premises,Valencia + Valecia,InPost + Celeritas + CTT Express + Nacex,Convenience stores,Private,Premises,Valencia + Valecia,Eco Estore Patraix + Eco Store + Eco Store + Eco Store (4604-48),"Calle Maestro Bellver, 24 + Calle Maestro Bellver, 24 + Calle Maestro Bellver, 24 + Calle Maestro Bellver, 24",46018.0 + 46018.0 + 46018.0 + 46018.0,,,,7 + 7 + 7 + 7,Convenience Store + Convenience Store + Convenience Store + Convenience Store,1,4,4,False,False,False,False,False,False,True,False,5,Convenience Store only,3,"Multiple companies, single service",16.33,2,Medium,Celeritas | Ctt Express | InPost | Nacex + Celeritas | Ctt Express | InPost | Nacex + Celeritas | Ctt Express | InPost | Nacex + Celeritas | Ctt Express | InPost | Nacex,False
VAL_LOC_000046,3,PUDO,47,Jd Market,"Carrer de Burgos, 3",39.46950037734553,-0.3996324470997499,360,46018.0,47 + 567 + 698,InPost + Celeritas + Ctt Express,Convenience Stores,Privada,Premises,Valencia + Valecia,InPost + Celeritas + CTT Express,Convenience stores,Private,Premises,Valencia + Valecia,Jd Market + Jd Market + Jd Market,"Carrer de Burgos, 3 + Carrer de Burgos, 3 + Carrer de Burgos, 3",46018.0 + 46018.0 + 46018.0,,,,7 + 7 + 7,Convenience Store + Convenience Store + Convenience Store,1,3,3,False,False,False,False,False,False,True,False,5,Convenience Store only,3,"Multiple companies, single service",3.48,1,High,Celeritas | Ctt Express | InPost + Celeritas | Ctt Express | InPost + Celeritas | Ctt Express | InPost,False
VAL_LOC_000049,2,PUDO,50,Papeleria Mapamundi,"Av. de la Constitución, 136",39.49013755325412,-0.37529575948617755,240,46009.0,50 + 474,InPost + Dhl,Convenience Stores,Privada,Premises,Valencia + Valecia,InPost + DHL,Convenience stores,Private,Premises,Valencia + Valecia,Papeleria Mapamundi + Papeleria Mapamundi,"Av. de la Constitución, 136 + Av. de la Constitución, 136",46009.0 + 46009.0,,,,7 + 7,Convenience Store + Convenience Store,1,2,2,False,False,False,False,False,False,True,False,5,Convenience Store only,3,"Multiple companies, single service",2.91,1,High,Dhl | InPost + Dhl | InPost,False
VAL_LOC_000051,5,PUDO,52,Kiosco Acme,"C/ del Padre Urbano, 37",39.48922937521793,-0.3721708842536594,600,46009.0,52 + 542 + 648 + 783 + 835,InPost + Celeritas + Ctt Express + Gls + Nacex,Convenience Stores,Privada,Kiosk,Valencia + Valecia,InPost + Celeritas + CTT Express + GLS + Nacex,Convenience stores,Private,Kiosk,Valencia + Valecia,Kiosco Acme + Kiosco Acme + Kiosco Acme + Ps Kiosco Acme + Kiosco Acme (4601-44),"C/ del Padre Urbano, 37 + C/ del Padre Urbano, 37 + C/ del Padre Urbano, 37 + C/ del Padre Urbano, 37 + C/ del Padre Urbano, 37",46009.0 + 46009.0 + 46009.0 + 46009.0 + 46009.0,,,,7 + 7 + 7 + 7 + 7,Convenience Store + Convenience Store + Convenience Store + Convenience Store + Convenience Store,1,5,5,False,False,False,False,False,False,True,False,5,Convenience Store only,3,"Multiple companies, single service",27.73,2,Medium,Celeritas | Ctt Express | Gls | InPost | Nacex + Celeritas | Ctt Express | Gls | InPost | Nacex + Celeritas | Ctt Express | Gls | InPost | Nacex + Celeritas | Ctt Express | Gls | InPost | Nacex + Celeritas | Ctt Express | Gls | InPost | Nacex,False
VAL_LOC_000053,2,PUDO,54,Fruteria Internacional,"Av. de Gaspar Aguilar, 13",39.45881058884622,-0.3887932287052047,240,46007.0,54 + 171,InPost + Amazon,Convenience Stores,Privada,Premises,Valencia,InPost + Amazon,Convenience stores,Private,Premises,Valencia,Fruteria Internacional + Frutería Internacional,"Av. de Gaspar Aguilar, 13 + Av. de Gaspar Aguilar, 13",46007.0 + 46007.0,,,,7 + 7,Convenience Store + Convenience Store,1,2,2,False,False,False,False,False,False,True,False,5,Convenience Store only,3,"Multiple companies, single service",17.36,2,Medium,Amazon | InPost + Amazon | InPost,False
VAL_LOC_000054,2,PUDO,55,Perfumarte Juan Xxiii,"Av. de Juan XXIII, 4",39.49094320169422,-0.38195988771781575,240,46025.0,55 + 406,InPost + SEUR,Convenience Stores,Privada,Premises,Valencia,InPost + Seur,Convenience stores,Private,Premises,Valencia,Perfumarte Juan Xxiii + Evc Juan Xxiii,"Av. de Juan XXIII, 4 + Av. de Juan XXIII, 4",46025.0 + 46025.0,,,,7 + 7,Convenience Store + Convenience Store,1,2,2,False,False,False,False,False,False,True,False,5,Convenience Store only,3,"Multiple companies, single service",24.05,2,Medium,InPost | SEUR + InPost | SEUR,False
