Analysis_City,Source_City,CityPaq_Row,CityPaq_Company,CityPaq_Location,CityPaq_Address,CityPaq_Latitude,CityPaq_Longitude,Match_Type,Nearest_Master_Row,Master_Company,Master_Location,Master_Address,Master_Latitude,Master_Longitude,Distance_m,Same_Company,Same_Address,Address_Similarity,Location_Similarity,CityPaq_Branch_ID,Master_Branch_ID,Same_Branch_ID,Same_City,Classification,Within_50m
Barcelona,Barcelona,5,Correos Citypaq,BARCELONA OP,Pç. Antonio López S/n,41.38192911682,2.18144336938,Nearest same company,35,Correos,Correos Barcelona Op,"Pl. de Correus, S/N, Ciutat Vella",41.3824360062265,2.18088289383968,73.24,True,False,32.0,75.0,,,False,True,Possibly new,False
Barcelona,Barcelona,3,Correos Citypaq,BARCELONA SUC 1 PLAZA LETAMENDI,Pç. Letamendi 5-7,41.3894524464,2.16123945282,Nearest same company,10,Correos,Correos Barcelona Suc 1 Plaza Letamendi,"Pl. del Dr. Letamendi, 5-7",41.3887359724653,2.16088127967393,85.09,True,False,76.92,88.57,1,1,True,True,Possibly new,False
Barcelona,Barcelona,25,Correos Citypaq,BARCELONA SUC 41. ALTS FORNS,Car. Alts Forns 65-67,41.35868953129,2.14083271321,Nearest same company,41,Correos,Condis,"Pg. de la Zona Franca, 168",41.3600466795694,2.13949751080658,187.59,True,False,18.18,24.24,41,,False,True,Possibly new,False
Barcelona,Barcelona,13,Correos Citypaq,BARCELONA SUC 4. INDEPENDENCIA-ROSSELLÓ,Car. Independencia 333,41.40990854786,2.18060687363,Nearest same company,18,Correos,Correos Barcelona Suc 24. Sagrada Familia,"Carrer de los Castillejos, 276",41.4076498819456,2.17736363301539,369.1,True,False,32.0,48.72,4,24,False,True,Possibly new,False
Barcelona,Barcelona,23,Correos Citypaq,BARCELONA SUC 19. CONGRÈS,Car. Jordi De Sant Jordi 5-7,41.42119427623,2.18272777658,Nearest same company,12,Correos,Rodalies La Sagrera-Meridiana,"Av. Meridiana, 305",41.4243361497558,2.18638787680952,463.88,True,False,37.21,33.96,19,,False,True,Possibly new,False
Barcelona,Barcelona,8,Correos Citypaq,BARCELONA SUC 34. PS SANT JOAN,Ps. Sant Joan 196,41.40390476319,2.16392337385,Nearest same company,52,Correos,Condislife,"C. del Bruc, 166",41.399260929402,2.16388802115237,516.38,True,False,33.33,20.51,34,,False,True,Possibly new,False
Barcelona,Barcelona,14,Correos Citypaq,BARCELONA SUC 5. HOSTAFRANCS,Gv. Corts Catalanes 282,41.37167648163,2.14489665657,Nearest same company,29,Correos,Fgc Plaça Espanya,Plaça Espanya S/N,41.3758195903501,2.14798766214634,527.98,True,False,20.51,31.82,5,,False,True,Possibly new,False
Barcelona,Barcelona,6,Correos Citypaq,BARCELONA SUC 12. COMTE DE SALVATIERRA-VIA AUGUSTA,Car. Comte De Salvatierra 5,41.39620701512,2.15413768288,Nearest same company,26,Correos,Fgc Provença,Calle C/ Balmes Esq C/ Rosello S/N,41.3927884651406,2.15860202219929,532.14,True,False,31.03,13.11,12,,False,True,Possibly new,False
Barcelona,Barcelona,18,Correos Citypaq,BARCELONA SUC 44. WATT,Ps. Sant Antoni 16,41.37643033886,2.13693893461,Nearest same company,37,Correos,Carrefour,"Carrer de Sants, 303",41.3755549590707,2.12872402187357,692.32,True,False,33.33,33.33,44,,False,True,Possibly new,False
Barcelona,Barcelona,20,Correos Citypaq,BARCELONA SUC 6. SANT GERVASI,Car. Balmes 421,41.40817680037,2.13793640072,Nearest same company,7,Correos,Condis,"Carrer de Prats de Molló, 2",41.4014285000991,2.13682126345712,756.12,True,False,40.0,23.53,6,,False,True,Possibly new,False
Barcelona,Barcelona,15,Correos Citypaq,BARCELONA SUC 2. EL GUINARDÓ,Car. Pau Alsina 131,41.4121369561,2.16015706548,Nearest same company,55,Correos,Correos Barcelona Suc 32. Gracia,"Carrer Gran de Gràcia, 118",41.401636463491,2.15391275381462,1278.48,True,False,55.81,65.52,2,32,False,True,Possibly new,False
