Analysis_City,Source_City,CityPaq_Row,CityPaq_Company,CityPaq_Location,CityPaq_Address,CityPaq_Latitude,CityPaq_Longitude,Match_Type,Nearest_Master_Row,Master_Company,Master_Location,Master_Address,Master_Latitude,Master_Longitude,Distance_m,Same_Company,Same_Address,Address_Similarity,Location_Similarity,CityPaq_Branch_ID,Master_Branch_ID,Same_Branch_ID,Same_City,Classification,Within_50m
Madrid,Madrid,17,Correos Citypaq,MADRID SUC 45. AV VALLADOLID,"Av. Valladolid, 39",40.42835768197,-3.72938061393,Nearest same company,35,Correos,Correos Madrid Sucursal 45,"Av. de Valladolid, 39",40.428543618506,-3.72935629224862,20.78,True,False,91.43,49.06,45,45,True,True,"Existing branch, probable duplicate",True
Madrid,Madrid,19,Correos Citypaq,MADRID SUC 9. MANUEL BECERRA,"Martires Concepcionistas, 21",40.42923994189,-3.67061848096,Nearest same company,25,Correos,Correos Madrid Sucursal 9,"C. de las Mártires Concepcionistas, 21",40.429357452302,-3.67081239983178,20.98,True,False,85.71,46.15,9,9,True,True,"Existing branch, probable duplicate",True
Madrid,Madrid,18,Correos Citypaq,MADRID SUC 46. GUZMÁN EL BUENO,Cl Guzman El Bueno 86,40.43994768808,-3.71267196919,Nearest same company,9,Correos,Correos Madrid Sucursal 46,"C. de Guzmán el Bueno, 86",40.4401313928777,-3.71260551281086,21.19,True,False,90.91,47.27,46,46,True,True,"Existing branch, probable duplicate",True
Madrid,Madrid,14,Correos Citypaq,MADRID SUC 21. IBIZA,"Antonio Arias, 2",40.41788174053,-3.67150852384,Nearest same company,38,Correos,Correos Madrid Sucursal 21,"Calle de Antonio Arias, 2",40.4181096720039,-3.6715078150819,25.34,True,False,76.92,57.78,21,21,True,True,"Existing branch, probable duplicate",True
Madrid,Madrid,5,Correos Citypaq,MADRID SUC 5. SAN FRANCISCO EL GRANDE,Cra De San Francisco 13,40.41062679874,-3.71330118629,Nearest same company,17,Correos,Correos Madrid Sucursal 5,"Carrera de San Francisco, 13",40.410799234417,-3.71350393818038,25.74,True,False,92.0,39.34,5,5,True,True,"Existing branch, probable duplicate",True
Madrid,Madrid,12,Correos Citypaq,MADRID SUC 53.CONDE DE PEÑALVER,"Conde De Peñalver, 19",40.42658414868,-3.67561062081,Nearest same company,22,Correos,Carrefour,"C. del Conde de Peñalver, 15",40.4263417230403,-3.67571255607502,28.3,True,False,82.61,20.0,53,,False,True,Manual review,True
Madrid,Madrid,10,Correos Citypaq,MADRID SUC 73,Cl Andres Mellado 12,40.43158680541,-3.71449825227,Nearest same company,57,Correos,Carrefour Express,"C. de Andrés Mellado, 9",40.4317092740903,-3.71487168911276,34.42,True,False,82.93,26.67,73,,False,True,Manual review,True
Madrid,Madrid,15,Correos Citypaq,MADRID SUC 40. PACIFICO,"Av. Tellez, 27",40.40218759256,-3.67792808166,Nearest same company,29,Correos,Correos Madrid Sucursal 40,"C. de Téllez, 27",40.402198266142,-3.67850625281244,48.97,True,False,76.92,54.17,40,40,True,True,"Existing branch, probable duplicate",True
Madrid,Madrid,21,Correos Citypaq,MADRID SUC 13. AV DE AMERICA,"Av. America, 3",40.43784448712,-3.67727912237,Nearest same company,7,Correos,Correos Madrid Sucursal 13,"Av. de América, 3",40.4384200698212,-3.67728172172886,64.0,True,False,88.89,49.06,13,13,True,True,Possibly new,False
Madrid,Madrid,27,Correos Citypaq,MADRID SUC 60. CIUDAD UNIVERSITARIA,"Arqutecto Lopez Otero, 3",40.44385606239,-3.72864513566,Nearest same company,134,Correos,Correos Madrid Sucursal 60,"C. del Arquitecto López Otero, 3",40.4432926471331,-3.72880465156407,64.09,True,False,86.79,43.33,60,60,True,True,Possibly new,False
Madrid,Madrid,1,Correos Citypaq,MADRID SUC 86. CORTE INGLES CALLAO,Pz De Callao 2 Planta 8,40.4195161,-3.7049295,Nearest same company,51,Correos,Madrid Suc 86. Corte Ingles Callao,"Pl. del Callao, 2",40.41943998081,-3.70569069845,64.99,True,False,68.42,100.0,86,86,True,True,Possibly new,False
Madrid,Madrid,9,Correos Citypaq,MADRID SUC 8. ARGÜELLES,"Martin De Los Heros, 57",40.42816165473,-3.71687023867,Nearest same company,36,Correos,Madrid Suc 73. El Corte Inglã‰S Princesa,"Calle de la Princesa, 47",40.43004251757,-3.71591093819,224.35,True,False,40.0,55.74,8,73,False,True,Possibly new,False
Madrid,Madrid,24,Correos Citypaq,MADRID SUC 66. TORRE PICASSO,Pl. Pablo Ruiz Picasso 1 (torre Picasso),40.45007294849,-3.69306959784,Nearest same company,11,Correos,Cercanias Nuevos Ministerios,C. de Raimundo Fernández Villaverde,40.4464266219122,-3.69260122037163,407.39,True,False,30.99,14.55,66,,False,True,Possibly new,False
