Analysis_City,Source_City,CityPaq_Row,CityPaq_Company,CityPaq_Location,CityPaq_Address,CityPaq_Latitude,CityPaq_Longitude,Match_Type,Nearest_Master_Row,Master_Company,Master_Location,Master_Address,Master_Latitude,Master_Longitude,Distance_m,Same_Company,Same_Address,Address_Similarity,Location_Similarity,CityPaq_Branch_ID,Master_Branch_ID,Same_Branch_ID,Same_City,Classification,Within_50m
Barcelona,Barcelona,15,Correos Citypaq,BARCELONA SUC 2. EL GUINARDÓ,Car. Pau Alsina 131,41.4121369561,2.16015706548,Nearest same company,55,Correos,Correos Barcelona Suc 32. Gracia,"Carrer Gran de Gràcia, 118",41.401636463491,2.15391275381462,1278.48,True,False,55.81,65.52,2.0,32.0,False,True,Possibly new,False
Madrid,Madrid,21,Correos Citypaq,MADRID SUC 13. AV DE AMERICA,"Av. America, 3",40.43784448712,-3.67727912237,Nearest same company,7,Correos,Correos Madrid Sucursal 13,"Av. de América, 3",40.4384200698212,-3.67728172172886,64.0,True,False,88.89,49.06,13,13,True,True,Possibly new,False
Madrid,Madrid,27,Correos Citypaq,MADRID SUC 60. CIUDAD UNIVERSITARIA,"Arqutecto Lopez Otero, 3",40.44385606239,-3.72864513566,Nearest same company,134,Correos,Correos Madrid Sucursal 60,"C. del Arquitecto López Otero, 3",40.4432926471331,-3.72880465156407,64.09,True,False,86.79,43.33,60,60,True,True,Possibly new,False
Madrid,Madrid,1,Correos Citypaq,MADRID SUC 86. CORTE INGLES CALLAO,Pz De Callao 2 Planta 8,40.4195161,-3.7049295,Nearest same company,51,Correos,Madrid Suc 86. Corte Ingles Callao,"Pl. del Callao, 2",40.41943998081,-3.70569069845,64.99,True,False,68.42,100.0,86,86,True,True,Possibly new,False
Madrid,Madrid,9,Correos Citypaq,MADRID SUC 8. ARGÜELLES,"Martin De Los Heros, 57",40.42816165473,-3.71687023867,Nearest same company,36,Correos,Madrid Suc 73. El Corte Inglã‰S Princesa,"Calle de la Princesa, 47",40.43004251757,-3.71591093819,224.35,True,False,40.0,55.74,8,73,False,True,Possibly new,False
Madrid,Madrid,24,Correos Citypaq,MADRID SUC 66. TORRE PICASSO,Pl. Pablo Ruiz Picasso 1 (torre Picasso),40.45007294849,-3.69306959784,Nearest same company,11,Correos,Cercanias Nuevos Ministerios,C. de Raimundo Fernández Villaverde,40.4464266219122,-3.69260122037163,407.39,True,False,30.99,14.55,66,,False,True,Possibly new,False
Valencia,València,6,Correos Citypaq,VALÈNCIA SUC 11. AUSÍAS MARCH,"Av. Ausias March, 56",39.45155840091,-0.37232449882,Nearest same company,23,Correos,Supermercados Consum,"C. na Rovella, 4",39.45094275820016,-0.3722702652940619,68.61,True,False,18.75,29.17,11.0,,False,True,Possibly new,False
Valencia,València,1,Correos Citypaq,VALÈNCIA OP,Pz Del Ayuntamiento 24,39.4693935703,-0.37573811672,Nearest same company,10,Correos,Estacion De Metro Xativa,"C. Xátiva, s/n",39.46761031087426,-0.3768970377143659,221.85,True,False,17.65,11.43,,,False,True,Possibly new,False
Valencia,València,4,Correos Citypaq,VALÈNCIA SUC 8. AV DEL CID,Av Del Cid 22,39.46757160063,-0.3932784988,Nearest same company,2,Correos,Supermercados Consum,"C/ Angel Guimera, 70",39.46979785891765,-0.3909711411682767,317.03,True,False,38.71,31.11,8.0,,False,True,Possibly new,False
Valencia,València,2,Correos Citypaq,VALÈNCIA SUC 4. RUZAFA,"Sornells, 12",39.46081692693,-0.37116768651,Nearest same company,4,Correos,Supermercados Consum,"C. de Sueca, 34",39.46141306231918,-0.3750785067165566,342.22,True,False,25.0,24.39,4.0,,False,True,Possibly new,False
Valencia,València,9,Correos Citypaq,VALÈNCIA SUC 10. BENICALAP,Cl General Aviles 8,39.48591086589,-0.39397796029,Nearest same company,12,Correos,Correos Valencia Suc 10. Benicalap,"Av. del General Avilés, 8",39.48837160586209,-0.3913537116204853,354.38,True,False,85.71,86.21,10.0,10.0,True,True,Possibly new,False
Valencia,València,3,Correos Citypaq,VALÈNCIA SUC 7. SAN VICENTE,"San Vicente Martir, 175",39.4587929,-0.3830704,Nearest same company,26,Correos,Supermercados Consum,"C. San Vicente Mártir, 136",39.4637948124916,-0.3821590036792012,561.66,True,False,86.96,21.74,7.0,,False,True,Possibly new,False
Valencia,València,11,Correos Citypaq,,Cr Del Riu 263,39.42434881,-0.34081154,Nearest same company,29,Correos,Correos Valencia Suc 7. San Vicente,"C. San Vicente Mártir, 7",39.45373609621317,-0.3461698004126121,3299.96,True,False,16.67,0.0,,7.0,False,True,Possibly new,False
