City,Zip Code,Location,Address,Latitude,Longitude
Barcelona,8040,Amazon UES4,"Carrer Número 5, 2, Sants-Montjuïc, 08040 Barcelona",41.32395,2.131682
Barcelona,8820,Amazon BCN1,"Carrer de l'Alta Ribagorça, 20, 08820 El Prat de Llobregat, Barcelona",41.311677,2.072855
Barcelona,8020,DCT9 Amazon Logistics,"Carrer de Santander, 71, Sant Andreu, 08020 Barcelona",41.430526,2.204235
