Index_1,Index_2,ID_1,ID_2,Company_1,Company_2,Type_1,Type_2,Group_1,Group_2,Location_1,Location_2,Address_1,Address_2,Distance_m,Address_Similarity,Location_Similarity,Address_Numbers_Available,Same_Address_Number,Same_Company,Same_Type,Same_Group,Should_Cluster,Pair_Classification,Pair_Rule
41,983,42,984,InPost,SEUR,Convenience Stores,Convenience Stores,PUDO,PUDO,Papeleria Copi Rapit,Copirapit Melanju,"Carrer del Joncar, 47","Carrer del Joncar, 47",21.93,100.0,48.65,True,True,False,True,True,True,Same group - strong text match,same group and strong location/address match
42,2002,43,2003,InPost,UPS,Convenience Stores,Convenience Stores,PUDO,PUDO,Bol Mobils,Full-Bolo Mobils,"Carrer de la Marina, 22","Carrer de la Marina, 22",16.98,100.0,76.92,True,True,False,True,True,True,Same group - strong text match,same group and strong location/address match
44,1999,45,2000,InPost,UPS,Convenience Stores,Convenience Stores,PUDO,PUDO,Mail Boxes Etc,Mail Boxes Etc. 0226,"Carrer de Bilbao, 91","Carrer de Bilbao, 91",5.66,100.0,84.85,True,True,False,True,True,True,Same group - strong text match,same group and strong location/address match
44,1830,45,1831,InPost,Gls,Convenience Stores,Convenience Stores,PUDO,PUDO,Mail Boxes Etc,Ps Mail Boxes Etc,"Carrer de Bilbao, 91","Carrer de Bilbao, 91",35.21,100.0,90.32,True,True,False,True,True,True,Same group - strong text match,same group and strong location/address match
44,1894,45,1895,InPost,Mail Boxes Etc,Convenience Stores,Lsp Pudos,PUDO,PUDO,Mail Boxes Etc,MBE 0226,"Carrer de Bilbao, 91","Carrer de Bilbao, 91",39.49,100.0,18.18,True,True,False,False,True,True,Same group - strong text match,same group and strong location/address match
44,1427,45,1428,InPost,Celeritas,Convenience Stores,Convenience Stores,PUDO,PUDO,Mail Boxes Etc,Mail Boxes Etc,"Carrer de Bilbao, 91","Carrer de Bilbao, 91",44.23,100.0,100.0,True,True,False,True,True,True,Same group - strong text match,same group and strong location/address match
45,2003,46,2004,InPost,UPS,Convenience Stores,Convenience Stores,PUDO,PUDO,La Rotonda Port Olimpic,La Rotonda,"Carrer de la Marina, 16","Carrer de la Marina, 16",6.0,100.0,60.61,True,True,False,True,True,True,Same group - strong text match,same group and strong location/address match
45,1831,46,1832,InPost,Gls,Convenience Stores,Convenience Stores,PUDO,PUDO,La Rotonda Port Olimpic,Ps La Rotonda,"Carrer de la Marina, 16","Carrer de la Marina, 16",48.07,100.0,55.56,True,True,False,True,True,True,Same group - strong text match,same group and strong location/address match
47,988,48,989,InPost,SEUR,Convenience Stores,Convenience Stores,PUDO,PUDO,Hebell,Hebell,"Cam. Antiguo de Valencia, 89","Cam. Antiguo de Valencia, 89",5.86,100.0,100.0,True,True,False,True,True,True,Same group - strong text match,same group and strong location/address match
48,990,49,991,InPost,SEUR,Locker,Locker,PUDO,PUDO,Lockers 24/7 Bsm Litoral Port,Seur Lockers Bsm Litoral P,"Av. del Litoral, 34","Av. del Litoral, 34",10.61,100.0,76.36,True,True,False,True,True,True,Same group - strong text match,same group and strong location/address match
52,2005,53,2006,InPost,UPS,Convenience Stores,Convenience Stores,PUDO,PUDO,Estanco 355 Barcelona,Estanco 355 Bcn,"Carrer de Marià Cubí, 57","Carrer de Marià Cubí, 57",2.83,100.0,83.33,True,True,False,True,True,True,Same group - strong text match,same group and strong location/address match
52,1950,53,1951,InPost,Nacex,Convenience Stores,Convenience Stores,PUDO,PUDO,Estanco 355 Barcelona,Estanc Barcelona Nâo 355,"Carrer de Marià Cubí, 57","Carrer de Marià Cubí, 57",10.89,100.0,71.11,True,True,False,True,True,True,Same group - strong text match,same group and strong location/address match
55,996,56,997,InPost,SEUR,Locker,Locker,PUDO,PUDO,Lockers 24/7 Saba Gala Placidia,Seur Lockers Saba Placidia,"Plaça de Gal·la Placídia, 2","Plaça de Gal·la Placídia, 2",6.83,100.0,73.68,True,True,False,True,True,True,Same group - strong text match,same group and strong location/address match
55,2201,56,2202,InPost,Pudo,Locker,Click&Collect,PUDO,PUDO,Lockers 24/7 Saba Gala Placidia,Saba Gal-La PlacidãA,"Plaça de Gal·la Placídia, 2","Plaça de Gal·la Placídia, 2",8.89,100.0,65.38,True,True,False,False,True,True,Same group - strong text match,same group and strong location/address match
59,1003,60,1004,InPost,SEUR,Locker,Locker,PUDO,PUDO,Lockers 24/7 Bamsa Gracia Consel,Seur Lockers Pkn Saba Pass,"Passeig de Gràcia, 33","Passeig de Gràcia, 33",6.32,100.0,44.83,True,True,False,True,True,True,Same group - strong text match,same group and strong location/address match
