Provincias;Municipios;Secciones;Sexo;Edad;Periodo;Total
28 Madrid;28079 Madrid;2807901076 Madrid sección 01076;Total;Todas las edades;2025;1.413
28 Madrid;28079 Madrid;2807901077 Madrid sección 01077;Total;Todas las edades;2025;1.270
28 Madrid;28079 Madrid;2807901079 Madrid sección 01079;Total;Todas las edades;2025;1.504
28 Madrid;28079 Madrid;2807901081 Madrid sección 01081;Total;Todas las edades;2025;1.535
28 Madrid;28079 Madrid;2807901082 Madrid sección 01082;Total;Todas las edades;2025;1.794
28 Madrid;28079 Madrid;2807901084 Madrid sección 01084;Total;Todas las edades;2025;1.526
28 Madrid;28079 Madrid;2807901087 Madrid sección 01087;Total;Todas las edades;2025;1.429
28 Madrid;28079 Madrid;2807901088 Madrid sección 01088;Total;Todas las edades;2025;1.304
28 Madrid;28079 Madrid;2807901089 Madrid sección 01089;Total;Todas las edades;2025;1.515
28 Madrid;28079 Madrid;2807901090 Madrid sección 01090;Total;Todas las edades;2025;881
28 Madrid;28079 Madrid;2807901091 Madrid sección 01091;Total;Todas las edades;2025;1.042
28 Madrid;28079 Madrid;2807901092 Madrid sección 01092;Total;Todas las edades;2025;804
28 Madrid;28079 Madrid;2807901093 Madrid sección 01093;Total;Todas las edades;2025;1.548
28 Madrid;28079 Madrid;2807901094 Madrid sección 01094;Total;Todas las edades;2025;1.602
28 Madrid;28079 Madrid;2807901095 Madrid sección 01095;Total;Todas las edades;2025;1.436
28 Madrid;28079 Madrid;2807901096 Madrid sección 01096;Total;Todas las edades;2025;1.088
28 Madrid;28079 Madrid;2807901097 Madrid sección 01097;Total;Todas las edades;2025;1.429
28 Madrid;28079 Madrid;2807901098 Madrid sección 01098;Total;Todas las edades;2025;1.203
28 Madrid;28079 Madrid;2807901099 Madrid sección 01099;Total;Todas las edades;2025;1.351
28 Madrid;28079 Madrid;2807901100 Madrid sección 01100;Total;Todas las edades;2025;1.211
28 Madrid;28079 Madrid;2807901101 Madrid sección 01101;Total;Todas las edades;2025;1.256
28 Madrid;28079 Madrid;2807901102 Madrid sección 01102;Total;Todas las edades;2025;1.152
28 Madrid;28079 Madrid;2807901103 Madrid sección 01103;Total;Todas las edades;2025;1.406
28 Madrid;28079 Madrid;2807901104 Madrid sección 01104;Total;Todas las edades;2025;1.251
28 Madrid;28079 Madrid;2807901105 Madrid sección 01105;Total;Todas las edades;2025;1.303
28 Madrid;28079 Madrid;2807901106 Madrid sección 01106;Total;Todas las edades;2025;1.169
28 Madrid;28079 Madrid;2807901107 Madrid sección 01107;Total;Todas las edades;2025;1.213
28 Madrid;28079 Madrid;2807901108 Madrid sección 01108;Total;Todas las edades;2025;1.417
28 Madrid;28079 Madrid;2807901109 Madrid sección 01109;Total;Todas las edades;2025;1.042
28 Madrid;28079 Madrid;2807901110 Madrid sección 01110;Total;Todas las edades;2025;854
28 Madrid;28079 Madrid;2807901111 Madrid sección 01111;Total;Todas las edades;2025;973
28 Madrid;28079 Madrid;2807901112 Madrid sección 01112;Total;Todas las edades;2025;1.191
28 Madrid;28079 Madrid;2807901113 Madrid sección 01113;Total;Todas las edades;2025;1.076
28 Madrid;28079 Madrid;2807901114 Madrid sección 01114;Total;Todas las edades;2025;1.642
28 Madrid;28079 Madrid;2807901115 Madrid sección 01115;Total;Todas las edades;2025;1.045
28 Madrid;28079 Madrid;2807901116 Madrid sección 01116;Total;Todas las edades;2025;1.467
28 Madrid;28079 Madrid;2807901117 Madrid sección 01117;Total;Todas las edades;2025;1.600
28 Madrid;28079 Madrid;2807901118 Madrid sección 01118;Total;Todas las edades;2025;902
28 Madrid;28079 Madrid;2807901119 Madrid sección 01119;Total;Todas las edades;2025;1.202
28 Madrid;28079 Madrid;2807901120 Madrid sección 01120;Total;Todas las edades;2025;841
28 Madrid;28079 Madrid;2807901121 Madrid sección 01121;Total;Todas las edades;2025;1.902
28 Madrid;28079 Madrid;2807901123 Madrid sección 01123;Total;Todas las edades;2025;1.561
28 Madrid;28079 Madrid;2807901124 Madrid sección 01124;Total;Todas las edades;2025;""
28 Madrid;28079 Madrid;2807902001 Madrid sección 02001;Total;Todas las edades;2025;935
28 Madrid;28079 Madrid;2807902002 Madrid sección 02002;Total;Todas las edades;2025;1.482
28 Madrid;28079 Madrid;2807902003 Madrid sección 02003;Total;Todas las edades;2025;1.182
28 Madrid;28079 Madrid;2807902004 Madrid sección 02004;Total;Todas las edades;2025;1.020
28 Madrid;28079 Madrid;2807902005 Madrid sección 02005;Total;Todas las edades;2025;778
28 Madrid;28079 Madrid;2807902006 Madrid sección 02006;Total;Todas las edades;2025;2.037
28 Madrid;28079 Madrid;2807902007 Madrid sección 02007;Total;Todas las edades;2025;759
28 Madrid;28079 Madrid;2807902008 Madrid sección 02008;Total;Todas las edades;2025;1.865
28 Madrid;28079 Madrid;2807902009 Madrid sección 02009;Total;Todas las edades;2025;1.973
28 Madrid;28079 Madrid;2807902010 Madrid sección 02010;Total;Todas las edades;2025;1.091
