Index_1,Index_2,ID_1,ID_2,Company_1,Company_2,Type_1,Type_2,Group_1,Group_2,Location_1,Location_2,Address_1,Address_2,Distance_m,Address_Similarity,Location_Similarity,Address_Numbers_Available,Same_Address_Number,Same_Company,Same_Type,Same_Group,Should_Cluster,Pair_Classification,Pair_Rule
565,1899,566,1900,InPost,SEUR,Convenience Stores,Convenience Stores,PUDO,PUDO,El Yaque Market,El Yaque Market,"C. de José Tamayo, 17","C. de José Tamayo, 17",3.85,100.0,100.0,True,True,False,True,True,True,Same group - strong text match,same group and strong location/address match
567,3102,568,3104,InPost,UPS,Convenience Stores,Convenience Stores,PUDO,PUDO,Risbar Sl,Risbar Mensajeria,"Calle Baños de Valdearados, 10","Calle Baños de Valdearados, 10",7.36,100.0,61.54,True,True,False,True,True,True,Same group - strong text match,same group and strong location/address match
567,1898,568,1899,InPost,SEUR,Convenience Stores,Convenience Stores,PUDO,PUDO,Risbar Sl,Risbar,"Calle Baños de Valdearados, 10","Calle Baños de Valdearados, 10",7.76,100.0,80.0,True,True,False,True,True,True,Same group - strong text match,same group and strong location/address match
568,1697,569,1698,InPost,SEUR,Locker,Locker,PUDO,PUDO,Locker 24/7 Galp Madrid Valleca,Seur Locker Galp Vallecas,"Av. del Mayorazgo, 20","Av. del Mayorazgo, 20",14.2,100.0,67.86,True,True,False,True,True,True,Same group - strong text match,same group and strong location/address match
571,1304,572,1305,InPost,Amazon,Locker,Locker,PUDO,PUDO,Locker 24/7 Repsol Cred Vicalva,Amazon Locker - Astasia Repsol,"CR M-214 P.K, 4,60 D","CR M-214 P.K, 4,60 D",2.0,100.0,47.46,True,True,False,True,True,True,Same group - strong text match,same group and strong location/address match
573,1308,574,1309,InPost,Amazon,Convenience Stores,Convenience Stores,PUDO,PUDO,Modas Alicia,Seur - Modas Alicia,"C. Campiña, 4","C. Campiña, 4",21.11,100.0,82.76,True,True,False,True,True,True,Same group - strong text match,same group and strong location/address match
573,1905,574,1906,InPost,SEUR,Convenience Stores,Convenience Stores,PUDO,PUDO,Modas Alicia,Modas Alicia,"C. Campiña, 4","C. Campiña, 4",26.45,100.0,100.0,True,True,False,True,True,True,Same group - strong text match,same group and strong location/address match
574,3106,575,3108,InPost,UPS,Convenience Stores,Convenience Stores,PUDO,PUDO,Iris Tienda Vaquero,Iris,"C. Sierra de Contraviesa, 24","C. Sierra de Contraviesa, 24",22.61,100.0,34.78,True,True,False,True,True,True,Same group - strong text match,same group and strong location/address match
575,2754,576,2756,InPost,Gls,Convenience Stores,Convenience Stores,PUDO,PUDO,Alimentacion Dtodo,Ps Alimentacion De Todo,"Av del Monte Igueldo, 108",Avenida del Monte Igueldo 108,12.22,90.57,87.8,True,True,False,True,True,True,Same group - strong text match,same group and strong location/address match
575,2609,576,2610,InPost,Ctt Express,Convenience Stores,Convenience Stores,PUDO,PUDO,Alimentacion Dtodo,Alimentacion & Dtodo,"Av del Monte Igueldo, 108","Av del Monte Igueldo, 108",20.04,100.0,100.0,True,True,False,True,True,True,Same group - strong text match,same group and strong location/address match
