City,Location_Cluster_ID,Representative_Latitude,Representative_Longitude,Record_Count,Company_Count,Companies,Addresses,Locations,Has_Locker,Has_PUDO,Has_Click_Collect,Has_Distribution_Center,Has_Last_Mile_Station,Has_Warehouse,Has_Convenience_Store,Has_Unknown,Cluster_Service_Type_Code,Cluster_Service_Type_Name,Cluster_Sharing_Type_Code,Cluster_Sharing_Type_Name,Cluster_Diameter_m,Cluster_Spatial_Confidence_Code,Cluster_Spatial_Confidence_Name,Cluster_Review_Required
madrid,MAD_LOC_000001,40.4259218465805,-3.68208097292823,2,2,Amazon | InPost,"Calle de Nuñez de Balboa, 32 | Calle de Núñez de Balboa, 32",Lockers Arruda | Supermercado Dia,True,False,False,False,False,False,False,False,1,Locker only,3,"Multiple companies, single service",2.84,1,High,False
madrid,MAD_LOC_000002,40.4280518867301,-3.6845655804811246,2,2,InPost | SEUR,"Cl. de Ayala, 38",24/7 Parking Ayala Grupo | Parking,True,False,False,False,False,False,False,False,1,Locker only,3,"Multiple companies, single service",39.15,3,Review,True
madrid,MAD_LOC_000003,40.42544911386783,-3.6829077388721876,4,4,Amazon | Ctt Express | Gls | InPost,"Calle de Goya, 43 | Calle de Goya, 43, Galeria Comercial l160",Grupo Hicorsa Artes Graficas | Grupo Hicorsa Artes Gráficas S.A. | Ps Gls Dis Grupo Hicorsa Artes Gráficas S.A.,False,False,False,False,False,False,True,False,5,Convenience Store only,3,"Multiple companies, single service",8.48,1,High,False
madrid,MAD_LOC_000004,40.4212867752639,-3.68557037997434,1,1,InPost,"Calle de Lagasca, 6",Panaderia Alimentacion Lagasca,False,False,False,False,False,False,True,False,5,Convenience Store only,1,Single record,0.0,1,High,False
madrid,MAD_LOC_000005,40.4216836164103,-3.68356702300901,1,1,InPost,"C. de Alcalá, 99",Jesus Rodriguez Cuadros,False,False,False,False,False,False,True,False,5,Convenience Store only,1,Single record,0.0,1,High,False
madrid,MAD_LOC_000006,40.424012986126534,-3.6788709194101403,3,3,Amazon | Dhl | InPost,"Calle del Gral. Pardiñas, 3",La Capital | La Capital Del Movil,False,False,False,False,False,False,True,False,5,Convenience Store only,3,"Multiple companies, single service",5.44,1,High,False
madrid,MAD_LOC_000007,40.4271067637238,-3.67874588879956,1,1,InPost,"Calle del Gral. Pardiñas, 31",Take Up,False,False,False,False,False,False,True,False,5,Convenience Store only,1,Single record,0.0,1,High,False
madrid,MAD_LOC_000008,40.4207388653189,-3.6918522423678,1,1,InPost,"P.o de Recoletos, 4",24/7 Emt Parking Recoletos,True,False,False,False,False,False,False,False,1,Locker only,1,Single record,0.0,1,High,False
madrid,MAD_LOC_000009,40.4477458306326,-3.67234765257941,1,1,InPost,C. de Sánchez Pacheco,Locker Eroski City Sanchez Pach,True,False,False,False,False,False,False,False,1,Locker only,1,Single record,0.0,1,High,False
madrid,MAD_LOC_000010,40.4451542325239,-3.67340205034153,1,1,InPost,"C. de López de Hoyos, 128",Moran Opticos,False,False,False,False,False,False,True,False,5,Convenience Store only,1,Single record,0.0,1,High,False
madrid,MAD_LOC_000011,40.4489601877465,-3.67549662131465,1,1,InPost,"C. de Pradillo, 7",Herbolario Sana Sana,False,False,False,False,False,False,True,False,5,Convenience Store only,1,Single record,0.0,1,High,False
madrid,MAD_LOC_000012,40.444972082564,-3.67505069555944,1,1,InPost,"C. de Vinaroz, 2",Locutorio Robert Multiservices,False,False,False,False,False,False,True,False,5,Convenience Store only,1,Single record,0.0,1,High,False
madrid,MAD_LOC_000013,40.4419071580472,-3.67853443382289,1,1,InPost,C. del Príncipe de Vergara 2,Optica Golf,False,False,False,False,False,False,True,False,5,Convenience Store only,1,Single record,0.0,1,High,False
madrid,MAD_LOC_000014,40.446350548375946,-3.674644835291585,2,2,Amazon | InPost,"C. de Eugenio Salazar, 27",Lockers Dobson | Supermercado Dia,True,False,False,False,False,False,False,False,1,Locker only,3,"Multiple companies, single service",42.13,3,Review,True
madrid,MAD_LOC_000015,40.44727304766385,-3.6698057173244196,2,2,InPost | UPS,"C. de López de Hoyos, 135",Mioptico | Mioptico Lopez De Hoyos,False,False,False,False,False,False,True,False,5,Convenience Store only,3,"Multiple companies, single service",5.31,1,High,False
madrid,MAD_LOC_000016,40.4456140483529,-3.66927210385134,1,1,InPost,"C/ de Baeza, 4",Digital Y Envios,False,False,False,False,False,False,True,False,5,Convenience Store only,1,Single record,0.0,1,High,False
